time,context-switches-per-second-no-agent,context-switches-per-second-with-agent
20210427175649,9762.977,12491.6
20210427180310,12083.108,17225.633
20210427181519,13342.45,11354.629
20210427210805,8874.713,14274.6
20210427212751,10374.4375,15541.176
20210428163419,8527.2,11342.831
20210428220109,12797.641,11910.209
20210429034750,9578.857,13328.967
20210429153858,7731.415,11058.406
20210430045316,8845.24,10890.436
20210430152625,9128.988,13009.192
20210430164336,10638.6,12380.2
20210506155102,12196.1,11573.456
20210507012100,9643.936,11058.282
20210519160828,8237.886,12898.481
20210527164235,13899.21,13380.1
